episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max
52,11.0,8246,,,,,,2.28643216080402,0.0,1.0
53,18.0,8580,,,,,,1.9491017964071857,0.0,1.0
54,8.0,8717,,,,,,1.8686131386861313,0.0,1.0
55,3.0,8843,,,,,,2.3333333333333335,0.0,1.0
56,9.0,9057,,,,,,1.7990654205607477,0.0,1.0
57,21.0,9324,,,,,,1.749063670411985,0.0,1.0
58,20.0,9652,,,,,,2.2042682926829267,0.0,1.0
59,7.0,9755,,,,,,2.1067961165048543,0.0,1.0
60,16.0,9992,,,,,,2.5780590717299576,0.0,1.0
61,7.0,10140,,,,,,2.195945945945946,0.0,1.0
62,5.0,10275,,,,,,2.022222222222222,0.0,1.0
63,4.0,10401,,,,,,1.8492063492063493,0.0,1.0
64,5.0,10493,,,,,,2.0652173913043477,0.0,1.0
65,9.0,10658,,,,,,2.1454545454545455,0.0,1.0
66,3.0,10756,,,,,,2.295918367346939,0.0,1.0
67,7.0,10932,,,,,,2.159090909090909,0.0,1.0
68,6.0,11031,,,,,,2.242424242424242,0.0,1.0
69,21.0,11358,,,,,,1.6758409785932722,0.0,1.0
70,17.0,11545,,,,,,1.7272727272727273,0.0,1.0
71,12.0,11788,,,,,,1.4609053497942386,0.0,1.0
72,11.0,11976,,,,,,1.946808510638298,0.0,1.0
73,13.0,12198,,,,,,1.882882882882883,0.0,1.0
74,4.0,12332,,,,,,1.9850746268656716,0.0,1.0
75,8.0,12473,,,,,,1.6453900709219857,0.0,1.0
76,6.0,12600,,,,,,2.062992125984252,0.0,1.0
77,5.0,12698,,,,,,2.163265306122449,0.0,1.0
78,5.0,12789,,,,,,2.010989010989011,0.0,1.0
79,15.0,13043,,,,,,1.6653543307086613,0.0,1.0
80,5.0,13134,,,,,,2.197802197802198,0.0,1.0
81,4.0,13222,,,,,,2.159090909090909,0.0,1.0
82,5.0,13346,,,,,,1.9919354838709677,0.0,1.0
83,16.0,13577,,,,,,1.7445887445887447,0.0,1.0
84,9.0,13738,,,,,,1.6149068322981366,0.0,1.0
85,14.0,13959,,,,,,2.3076923076923075,0.0,1.0
86,7.0,14091,,,,,,2.242424242424242,0.0,1.0
87,11.0,14390,,,,,,1.9832775919732442,0.0,1.0
88,21.0,14633,,,,,,1.7818930041152263,0.0,1.0
89,19.0,14899,,,,,,1.7067669172932332,0.0,1.0
90,8.0,15033,,,,,,2.1791044776119404,0.0,1.0
91,6.0,15181,,,,,,2.2567567567567566,0.0,1.0
92,8.0,15339,,,,,,2.2974683544303796,0.0,1.0
93,7.0,15470,,,,,,1.7251908396946565,0.0,1.0
94,19.0,15748,,,,,,2.068345323741007,0.0,1.0
95,17.0,16000,,,,,,2.0992063492063493,0.0,1.0
96,15.0,16188,,,,,,2.1595744680851063,0.0,1.0
97,7.0,16287,,,,,,2.2626262626262625,0.0,1.0
98,23.0,16555,,,,,,1.9701492537313432,0.0,1.0
99,8.0,16690,,,,,,2.1037037037037036,0.0,1.0
100,14.0,16874,,,,,,1.7771739130434783,0.0,1.0
101,8.0,17008,,,,,,1.7388059701492538,0.0,1.0
102,6.0,17099,,,,,,2.142857142857143,0.0,1.0
103,19.0,17368,,,,,,2.0185873605947955,0.0,1.0
