episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max,reward_smooth,loss_smooth,q_smooth,eps_smooth
122,10.0,83934,,0.005297303,0.08251966,0.121135354,0.9498328,1.9097978227060648,0.0,1.0,9.67,,,
123,7.0,84532,,0.0052107573,0.075374305,0.113340594,0.9494607999999998,2.24247491638796,0.0,1.0,9.66,,,
124,18.0,85445,,0.004964061,0.074863404,0.111789726,0.9490071999999998,2.5772179627601317,0.0,1.0,9.67,,,
125,7.0,86071,,0.005934646,0.07695713,0.11857603,0.9485452,2.23482428115016,0.0,1.0,9.68,,,
126,10.0,86735,,0.0062355767,0.0777778,0.12147071,0.9481588,1.7756024096385543,0.0,1.0,9.67,,,
127,8.0,87365,,0.0052921358,0.06940125,0.11046697,0.9477700000000004,1.8507936507936509,0.0,1.0,9.7,,,
128,10.0,88000,,0.0059108743,0.06580114,0.10892588,0.9473908,2.222047244094488,0.0,1.0,9.69,,,
129,4.0,88530,,0.005453532,0.06471774,0.10168693,0.9470416,2.3264150943396227,0.0,1.0,9.58,,,
130,17.0,89546,,0.0058430685,0.06476024,0.10026775,0.9465772,1.820866141732284,0.0,1.0,9.67,,,
131,9.0,90046,,0.004813009,0.063316666,0.09913885,0.9461224,1.93,0.0,1.0,9.58,,,
132,8.0,90835,,0.0057729273,0.06211978,0.09490773,0.945736,2.253485424588086,0.0,1.0,9.56,,,
133,8.0,91434,,0.006294588,0.06337508,0.103286155,0.9453196,1.8981636060100169,0.0,1.0,9.49,,,
134,13.0,92169,,0.0046930197,0.060164638,0.09111765,0.9449188,2.1333333333333333,0.0,1.0,9.53,,,
135,20.0,93205,,0.005855725,0.061833505,0.096630916,0.9443872,1.884169884169884,0.0,1.0,9.65,,,
136,4.0,93804,,0.0059040203,0.05684333,0.08623448,0.9438975999999998,1.976627712854758,0.0,1.0,9.65,,,
137,7.0,94387,,0.0056655416,0.05677453,0.08962277,0.9435436,2.041166380789022,0.0,1.0,9.61,,,
138,13.0,95027,,0.005332741,0.05601559,0.08653648,0.9431764,2.0421875,0.0,1.0,9.64,,,
139,14.0,95835,,0.004741748,0.055119537,0.08720443,0.942742,2.089108910891089,0.0,1.0,9.7,,,
140,8.0,96361,,0.0052610086,0.06381812,0.10089715,0.9423412,2.055133079847909,0.0,1.0,9.68,,,
141,9.0,96982,,0.005220937,0.06815004,0.10234579,0.9419968,2.051529790660225,0.0,1.0,9.7,,,
142,10.0,97698,,0.0044819927,0.06682857,0.104082055,0.941596,2.122905027932961,0.0,1.0,9.6,,,
143,6.0,98290,,0.0049777785,0.06760964,0.10329538,0.9412036,2.251689189189189,0.0,1.0,9.43,,,
144,10.0,98955,,0.0047960994,0.067393646,0.10183733,0.9408268,2.022556390977444,0.0,1.0,9.48,,,
145,5.0,99424,,0.006650885,0.06604761,0.10143038,0.9404872,2.1577825159914714,0.0,1.0,9.43,,,
146,14.0,100326,,0.0056430097,0.06217108,0.10018261,0.9400756,1.860310421286031,0.0,1.0,9.54,,,
147,12.0,101107,,0.0052685477,0.06225442,0.09523464,0.9395704,1.7144686299615877,0.0,1.0,9.6,,,
148,14.0,101904,,0.0050545237,0.06216611,0.0948203,0.9390976000000002,2.043914680050188,0.0,1.0,9.7,,,
149,12.0,102543,,0.004887163,0.06607906,0.09918962,0.9386668,2.10641627543036,0.0,1.0,9.76,,,
150,12.0,103380,,0.0046628695,0.06627662,0.09909054,0.938224,1.831541218637993,0.0,1.0,9.77,,,
151,7.0,103940,,0.0041716415,0.06484221,0.09464928,0.9378052,2.0107142857142857,0.0,1.0,9.75,,,
152,25.0,105509,,0.0052656927,0.06641621,0.09877614,0.9371656,2.0178457616316123,0.0,1.0,9.92,,,
153,10.0,106173,,0.005737572,0.067176126,0.099860504,0.9364948,1.927710843373494,0.0,1.0,9.88,,,
154,3.0,106517,,0.0048392257,0.064647794,0.09489448,0.9361924,2.2238372093023258,0.0,1.0,9.83,,,
155,13.0,107218,,0.005336127,0.06666394,0.10035359,0.9358792000000002,1.797432239657632,0.0,1.0,9.87,,,
156,4.0,107704,,0.0059966315,0.06751836,0.100813076,0.935524,1.9362139917695476,0.0,1.0,9.84,,,
157,18.0,108662,,0.005217741,0.060624164,0.094575025,0.9350908,2.067849686847599,0.0,1.0,9.92,,,
158,7.0,109429,,0.005326411,0.057735473,0.08831119,0.9345724,1.6844850065189048,0.0,1.0,9.91,,,
159,22.0,110494,,0.005840434,0.058909103,0.09275699,0.9340228,1.7624413145539906,0.0,1.0,10.08,,,
160,11.0,111147,,0.004487413,0.05501666,0.084718026,0.933508,2.027565084226646,0.0,1.0,9.99,,,
161,7.0,111777,,0.0043419343,0.0527954,0.086774364,0.9331228,2.365079365079365,0.0,1.0,10.0,,,
162,7.0,112470,,0.005255305,0.053399246,0.08422521,0.9327256000000002,2.2265512265512264,0.0,1.0,9.99,,,
163,11.0,113202,,0.005398879,0.05380455,0.08348128,0.9322984,1.907103825136612,0.0,1.0,10.06,,,
164,13.0,113847,,0.0064165983,0.055470526,0.08643829,0.9318856,1.8837209302325584,0.0,1.0,10.18,,,
165,10.0,114610,,0.0055626086,0.05993957,0.089557886,0.9314632,2.530799475753604,0.0,1.0,10.1,,,
166,7.0,115125,,0.005143746,0.06103581,0.09329305,0.9310792,1.9611650485436891,0.0,1.0,10.03,,,
167,12.0,115970,,0.005705184,0.061042976,0.09068988,0.9306712,2.3289940828402367,0.0,1.0,10.09,,,
168,8.0,116691,,0.0060721417,0.061966885,0.09134272,0.930202,2.441054091539528,0.0,1.0,10.05,,,
169,8.0,117172,,0.0057583144,0.06825962,0.09821812,0.929842,2.0332640332640333,0.0,1.0,10.05,,,
170,8.0,117792,,0.0071515283,0.08482009,0.12465481,0.929512,2.261290322580645,0.0,1.0,10.01,,,
171,8.0,118290,,0.0051923716,0.08069312,0.11591017,0.929176,2.060240963855421,0.0,1.0,10.06,0.012663487129,0.14885321321,0.9498095440000001
172,6.0,118691,,0.0050681205,0.08028064,0.11229215,0.928906,2.2967581047381547,0.0,1.0,10.04,0.0065987493340000005,0.12065820271,0.949398664
173,14.0,119830,,0.005081003,0.08045518,0.11367702,0.9284439999999998,1.8762071992976292,0.0,1.0,9.95,0.005804975164000001,0.11688515741,0.948986416
174,10.0,120617,,0.0062614395,0.12959124,0.1771363,0.9278655999999998,2.1715374841169,0.0,1.0,9.98,0.005729091578999999,0.11640169500999999,0.948573088
175,5.0,121019,,0.0073886625,0.14633575,0.19666347,0.9275092,2.281094527363184,0.0,1.0,9.93,0.005693880244,0.11651575681000001,0.948159772
176,6.0,121375,,0.0053621884,0.14179313,0.19025049,0.9272824,2.092696629213483,0.0,1.0,9.92,0.005653034708,0.11681716051,0.947748112
177,9.0,122023,,0.005736941,0.14234209,0.18762271,0.9269812,2.216049382716049,0.0,1.0,9.82,0.005627491718000001,0.11725822001,0.947338156
178,6.0,122579,,0.00568397,0.1422315,0.18686725,0.92662,2.034172661870504,0.0,1.0,9.71,0.005609195702999999,0.11771593751000001,0.9469302880000001
179,8.0,123225,,0.005888585,0.15073867,0.20065722,0.9262588,2.023219814241486,0.0,1.0,9.67,0.005607823357,0.11838158891,0.94652404
180,6.0,123735,,0.0051211785,0.16442971,0.21446335,0.9259120000000004,2.1372549019607843,0.0,1.0,9.64,0.005591293229,0.11921892980999999,0.9461188
181,12.0,124550,,0.0055072955,0.16406369,0.2128953,0.9255148,2.042944785276074,0.0,1.0,9.67,0.005587784874,0.12008049301000001,0.945713176
182,4.0,125174,,0.005193169,0.16417205,0.21337152,0.9250828,2.1201923076923075,0.0,1.0,9.63,0.005565130878,0.12093190961,0.945306592
183,4.0,125786,,0.005375316,0.16411103,0.21504444,0.924712,2.1258169934640523,0.0,1.0,9.56,0.005550754262,0.12184248451,0.94490098
184,6.0,126160,,0.007071631,0.19358456,0.2533792,0.9244168000000004,2.235294117647059,0.0,1.0,9.55,0.005558593272000001,0.12316045171000001,0.944496448
185,5.0,126691,,0.006075991,0.2314826,0.29347447,0.9241456,2.0376647834274952,0.0,1.0,9.47,0.005560062382,0.12490744831,0.94409272
186,4.0,127078,,0.0062615904,0.2317588,0.29669052,0.9238696,2.266149870801033,0.0,1.0,9.42,0.005556279359000001,0.12666991111,0.943690588
187,11.0,127723,,0.006520889,0.23290446,0.29684487,0.9235599999999998,1.9131782945736435,0.0,1.0,9.49,0.005561327917000001,0.12847382060999998,0.9432887560000001
188,10.0,128301,,0.0052380306,0.22982593,0.29140258,0.9231928,1.78719723183391,0.0,1.0,9.52,0.005566646283,0.13024908917,0.9428857719999999
189,14.0,129182,,0.0056237285,0.23640215,0.30339435,0.9227548,1.9591373439273552,0.0,1.0,9.52,0.005561232505,0.13212158047,0.942482584
190,9.0,129803,,0.0057836343,0.26024592,0.328229,0.9223048,1.964573268921095,0.0,1.0,9.52,0.005562811763,0.13428263836999998,0.942079732
191,6.0,130499,,0.0056914752,0.26020667,0.33330992,0.9219099999999998,2.449712643678161,0.0,1.0,9.46,0.005562971965,0.13640866402,0.9416782720000001
192,9.0,131126,,0.0054644723,0.25988632,0.3304649,0.9215128,2.116427432216906,0.0,1.0,9.45,0.005564451235,0.13850826752,0.941278204
193,15.0,132027,,0.0063558887,0.26197517,0.33356103,0.9210544,2.314095449500555,0.0,1.0,9.57,0.005575625434,0.14059940317,0.94087642
194,10.0,132480,,0.0047600833,0.3219525,0.41071066,0.9206488,2.150110375275938,0.0,1.0,9.57,0.0055650812770000006,0.14347614737,0.940473136
195,8.0,133266,,0.006110788,0.3232608,0.40681934,0.9202768,2.16412213740458,0.0,1.0,9.51,0.0055689689730000005,0.14626274907,0.940070176
196,10.0,133895,,0.0055349623,0.32277763,0.4045674,0.9198520000000002,2.41335453100159,0.0,1.0,9.56,0.005563796555999999,0.14877458726999998,0.9396665319999999
197,7.0,134592,,0.007262086,0.3257627,0.41030744,0.9194548,2.193687230989957,0.0,1.0,9.54,0.005568916609,0.15135849026999998,0.9392611000000001
198,7.0,135126,,0.006563395,0.32699636,0.4153117,0.9190852,1.9756554307116103,0.0,1.0,9.53,0.0055756966860000005,0.15404777577,0.938855008
199,5.0,135653,,0.0049724425,0.3364188,0.42433646,0.918766,2.0569259962049338,0.0,1.0,9.5,0.0055550198440000005,0.15678123837,0.9384499359999999
200,14.0,136303,,0.004369757,0.33467183,0.42067465,0.9184132,2.164615384615385,0.0,1.0,9.52,0.005546686052,0.15955233087,0.938046088
201,9.0,136896,,0.0053097387,0.33612996,0.42084143,0.9180412,2.2411467116357504,0.0,1.0,9.56,0.005549349154999999,0.16244325017000003,0.93764212
202,4.0,137291,,0.0060731517,0.33790886,0.425957,0.9177448,2.060759493670886,0.0,1.0,9.56,0.005552773697999999,0.16537166827,0.9372379
203,16.0,137951,,0.0047692996,0.33484155,0.41810828,0.917428,1.875757575757576,0.0,1.0,9.6,0.005537965939,0.16820277007,0.9368342319999999
204,6.0,138312,,0.0067033386,0.40055364,0.5023891,0.917122,2.1994459833795013,0.0,1.0,9.55,0.005550586264999999,0.17189484277000003,0.936431872
205,5.0,138848,,0.00493793,0.40813798,0.5103893,0.9168532,2.067164179104477,0.0,1.0,9.5,0.005543810850999999,0.17565174057,0.9360312879999999
